央视,#genre#
CCTV-1综合,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV-2财经,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV-3综艺,http://117.148.187.42/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230740/index.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8#http://39.134.176.253/PLTV/88888888/224/3221226431/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000003/index.m3u8
CCTV-4中文国际,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV-5体育,http://39.134.176.253/PLTV/88888888/224/3221226400/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL30000005/index.m3u8
CCTV-5+体育赛事,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV-6电影,http://117.148.187.49/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230685/index.m3u8#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://39.134.176.253/PLTV/88888888/224/3221226487/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000006/index.m3u8
CCTV-7国防军事,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV-8电视剧,http://117.148.187.70/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230737/index.m3u8#http://39.134.176.253/PLTV/88888888/224/3221226330/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000008/index.m3u8
CCTV-9纪录,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10科教,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8 
CCTV-11戏曲,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8#http://39.134.176.253/PLTV/88888888/224/3221226219/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000011/index.m3u8 
CCTV-12社会与法,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13新闻,http://117.148.187.46/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230877/01.m3u8?fmt=ts2hls#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-13-HQ/.m3u8#http://39.134.176.253/PLTV/88888888/224/3221226193/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000013/index.m3u8
CCTV-14少儿,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8
CCTV-15音乐,http://117.148.187.59/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230658/01.m3u8?fmt=ts2hls#http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226989/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000015/index.m3u8
CCTV17,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8      
CETV-1,http://39.134.176.253/PLTV/88888888/224/3221226132/index.m3u8
CCTV-高尔夫•网球,http://39.134.176.253/PLTV/88888888/224/3221226402/index.m3u8#http://117.148.187.78/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228669/01.m3u8?fmt=ts2hls
CGTN,http://39.134.176.253/PLTV/88888888/224/3221226314/index.m3u8#http://117.148.187.94/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228416/01.m3u8?fmt=ts2hls#http://117.148.187.112/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228545/01.m3u8?fmt=ts2hls
CCTV-NEWS,http://223.110.242.139:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS/

卫视,#genre#
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000301/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
辽宁卫视,http://117.148.187.45/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230692/01.m3u8?fmt=ts2hls#http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000026/index.m3u8
黑龙江卫视,http://39.134.176.163/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230710/01.m3u8?fmt=ts2hls#http://117.148.187.88/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228827/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225736/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225742/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
